Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
React: Building Progressive Web Apps (PWAs),"Single-page applications may be smooth, quick, and effective—but they disappear when the network connection drops. Progressive web apps (PWAs) work offline, enhancing resilience and allowing developers create seamless user experiences that feel like native apps. Learn how to build your own PWAs using React, the flexible front-end framework, in this course with Eve Porcello. Eve explains how to build the PWA component, fetch data, use Lighthouse to validate your app, and add offline capabilities to keep your app running even when the internet is down. Plus, learn how to install your app locally with browsers like Chrome and Safari for iOS.",Course,2024-12-21 02:11 UTC,N/A,false,N/A,
Architecting Big Data Applications: Batch Mode Application Engineering,"<p>Big data applications allow data scientists and analysts to acquire, store, manage, and use big data to generate more consistent, data-driven results. In this course, instructor Kumaran Ponnambalam explores real-world business use cases and best practices for architecting big data applications using existing open-source technologies.</p><p>Learn how to architect both simple and complex batch processing applications, as you discover the basic principles of big data architectures such as horizontal scaling, distributed processing, technology selection and integration, and scheduling. Kumaran shows you how to minimize data volumes and distribute data loads uniformly, as well as how to use caches, reprocess data, troubleshoot errors, and more. Along the way, take your new skills to the next level with hands-on use cases that cover a variety of functional and technology domains.</p>",Course,2024-12-28 02:43 UTC,N/A,false,N/A,
Creating Maps with R,"If you need to learn more about creating maps with R, this beginner-friendly course introduces an end-to-end mapping workflow and shows you how to import your data directly from Excel to create both static and interactive maps. Instructor Charlie Joey Hadley explains mapping fundamentals, like geo markers, scatter plots, hexbin maps, cartograms, and more. Charlie walks you through processing GIS data from Excel and working with GIS data formats such as raster, vector, sf, and sp. She demonstrates how to create, label, and transform static maps with ggplot2, then dives into building interactive, mobile-ready maps using Leaflet, an HTML widget package for creating interactive maps with R. Plus, Charlie covers base maps and tiles, projections, the Coordinate Reference System (CRS), and more.",Course,2024-09-28 16:07 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:5913228,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:5913228,Course,2024-09-02 12:26 UTC,N/A,false,N/A,
Learning Python (2021),"<p>Python—the popular and highly-readable object-oriented language—is both powerful and relatively easy to learn. Whether you're new to programming or an experienced developer, this course can help you get started with Python. Joe Marini provides an overview of the installation process, basic Python syntax, and an example of how to construct and run a simple Python program. Learn to work with dates and times, read and write files, and retrieve and parse HTML, JSON, and XML data from the web.</p>
<p>This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice alongside the course content to advance your programming skills.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/anaconda-python-for-data-science-professional-certificate"" target=""_blank"">Professional Certificate</a> from Anaconda.</p>",Course,2023-12-30 11:16 UTC,N/A,false,N/A,
Understanding the Impact of Deepfake Videos,"Imagine not being able to trust what you see or hear when you watch a video online. Deepfakes are manipulated media—video or audio—where a person has been replaced with someone else's likeness and made to appear as if they said or did something that never happened. Deepfake videos use artificial intelligence and can appear very convincing, even to a trained eye. When used to mislead audiences, deepfake videos can be disastrous. However, they can have useful benefits too—like offering AI-assisted video reshoots. In this introductory course, senior staff instructor Ashley Kennedy offers a useful introduction to the dangers and benefits of deepfake videos. She also provides a high-level overview of deepfake technology and puts forward some tools to identify deepfake videos, as well as suggestions for what to do when you suspect or spot a deepfake video.",Course,2021-02-01 11:10 UTC,N/A,false,N/A,
AWS Certified Solutions Architect - Professional (SAP-C02) Cert Prep: 4 Accelerate Workload Migration and Modernization,"The AWS Certified Solutions Architect certification helps organizations identify and develop talent with critical skills for implementing cloud initiatives. Earning AWS Certified Solutions Architect – Professional validates the ability to design, deploy, and evaluate applications on AWS within diverse, complex requirements. In this course, Noah Gift covers the topics in the fourth domain, Accelerate Workload Migration and Modernization. Noah details the knowledge you need to know for this section, including assessment and tracking tools, portfolio assessment, asset planning prioritization, migration of workloads, and more.",Course,2024-03-19 17:53 UTC,N/A,false,N/A,
Guy Kawasaki on Turning Life Wisdom into Business Success,"Get career advice from a real ""wise guy."" In this course, based on his book <i>Wise Guy</i>, one of the world's leading corporate evangelists, Guy Kawasaki, talks about how he built his career. Learn how he landed his first real job in the jewelry business—which turned out to be surprisingly useful training for the tech world. Find out why some of the riskiest moves he made at Apple—disparaging a potential partner and trading jabs with Steve Jobs—paid off. Guy also reveals how taking up surfing at the age of 62 sparked a new passion. In total, Guy covers everything from moral values to business skills to parenting. As he writes, “I hope my stories help you live a more joyous, productive, and meaningful life. If <i>Wise Guy</i> succeeds at this, then that’s the best story of all.”<br><br>

This course was created by <a href=""https://genconnectu.com/"" target=""_blank"">genconnectU</a>. We are pleased to offer this training in our library.",Course,2020-10-12 08:33 UTC,N/A,false,N/A,
Tableau for Data Scientists,"If your work requires any sort of graphical visualization of data, chances are you’ve run into Tableau. If you’ve been using Tableau but want to learn how to really harness its full power for data science, join expert Matt Francis in this course as he shows you how to take your skills to the next level. Matt starts with one of the most important features in Tableau: the difference between the green and blue pills (discrete and continuous data) and how this affects every single action Tableau performs. He then shows how to connect to and combine data from different data sources, how to create different charts to make sense of data, ways to transform your data with calculations, and how to create interactive maps. Finally, Matt details ways to present data effectively and how to make engaging dashboards. Whether you want to learn more about Tableau as a whole, or if you just want to improve your knowledge of a single subject, this course will help up your Tableau game.",Course,2023-02-18 04:46 UTC,N/A,false,N/A,
Eleven Tips for the .NET Developer,"This course from Learn-it Labs offers a deep dive into advanced .NET development techniques aimed at improving your coding workflows and application performance. Join instructor Walt Ritscher as he shows you how to distribute your applications efficiently and effectively. Learn how to manage single file deployment, manipulate and flatten sequences with LINQ's SelectMany, extend the functionality of the DateOnly type, transform data into more readable formats, return read-only collections safely, construct path strings for Linux and Windows, create fake data for testing, and more. Additionally, you'll learn to implement a version endpoint for web APIs, count Unicode characters correctly, and determine shared key values with LINQ's ToLookup method. By the end of this course, you will have mastered practical techniques to enhance your .NET applications and data manipulation methods.",Course,2025-02-13 12:11 UTC,N/A,false,N/A,
Django: Forms,"Most websites require the use of forms to receive data from users, so it is crucial to know how to safely collect and handle data while maintaining a user-friendly experience on your website. In this course, learn how to use Django to create forms from scratch. Instructor Nick Walter also explains how to deploy forms to your site, access stored data, leverage submitted form data, work with widgets, customize formsets, and more.",Course,2020-10-21 17:25 UTC,N/A,false,N/A,
AWS: Storage and Data Management,"Amazon Web Services (AWS) offers solutions that are ideal for managing data on a sliding scale—from small businesses to big data applications. This course with instructor Brandon Rich teaches system administrators the intermediate-level skills needed to successfully manage data by creating backups, enforcing compliance requirements, and managing the disaster recovery process.",Course,2024-03-19 17:53 UTC,N/A,false,N/A,
React: Using TypeScript,"TypeScript offers developers a more structured approach to JavaScript application development, and is a natural fit for the build processes most React developers are already using. Combining the component approach in React with the discipline of TypeScript enables you to build clean web applications that will be easier to maintain over time. In this course, instructor Emmanuel Henri explains how to use TypeScript with React. He starts with a review of basic and complex types and functional and stateful components. He then shows how to use TypeScript interfaces to improve your React code. Finally, learn how to implement higher-order components to reuse components while adding new functionality.",Course,2025-03-01 01:51 UTC,N/A,false,N/A,
Advanced Python (2018),"Develop your Python programming skills. Python is a great choice for building all kinds of applications, but to fully take advantage of its power and flexibility, you need to master all its advanced functionality. In this course, you can learn how to leverage next-level Python features such as object-oriented special class methods, use logging to track performance and user activity, see how to port code from Python 2 to 3, and make your code more efficient and easier to read and maintain. Instructor Joe Marini also shows how to manipulate data, build custom classes and functions, create lists, and write more elegant, optimized code.",Course,2021-05-03 07:39 UTC,N/A,false,N/A,
Web Forensics: Recovering Digital Evidence,"As the internet becomes more and more integral in our lives, so does the need to investigate criminal activity on the web. It’s more important than ever for digital forensics professionals to acquire expertise to solve cybercrimes occurring on the web. This course provides the theory and practice of web forensics, which will equip you with abilities to acquire, analyze, and present evidence from web servers and clients.",Course,2024-11-27 17:48 UTC,N/A,false,N/A,
Learning Ansible,"Ansible is a popular open-source tool that provides automation, configuration management, and orchestration all in one. In this course, instructor Greg Sowell introduces Ansible and explains the many reasons that system administrators and DevOps engineers choose to keep Ansible in their IT tool kit. Learn how to install Ansible in different environments and work with hosts, variables, inventories, and playbooks. Practice your new deployment and playbook writing skills with the exercise challenges at the end of each section. Along the way, Greg reviews various use cases and practical examples to highlight how Ansible can solve a variety of real-world problems more effectively and efficiently.",Course,2024-11-17 20:48 UTC,N/A,false,N/A,
Azure Spark Databricks Essential Training,"Apache Spark and Microsoft Azure are two of the most in-demand platforms and technology sets in use by today's data science teams. These two platforms join forces in Azure Databricks‚ an Apache Spark-based analytics platform designed to make the work of data analytics easier and more collaborative. In this course, Lynn Langit digs into patterns, tools, and best practices that can help developers and DevOps specialists use Azure Databricks to efficiently build big data solutions on Apache Spark. Lynn covers how to set up clusters and use Azure Databricks notebooks, jobs, and services to implement big data workloads. She also explores data pipelines with Azure Databricks—including how to use ML Pipelines—as well as architectural patterns for machine learning.",Course,2024-07-16 16:53 UTC,N/A,true,N/A,
Platform Engineering Foundations,"The software delivery lifecycle has only increased in complexity over the years, along with the infrastructure that supports enterprise systems. Developers now find themselves responsible for an ever-growing list of supporting systems to develop, deploy, and operate software in production. Platform engineering is compelling in its similarity to DevOps and site reliability engineering, while still being focused specifically on platforms. Platform engineers combine platform expertise with software engineering skills to provide developers with best practices for referencing code, automating processes, writing documentation, and more. In this course, instructor Dave Swersky guides you through the fundamentals of platform engineering and how it can benefit you and your company. Along the way, discover a wide range of options to adopt and adapt platform engineering solutions to any type of enterprise.",Course,2024-11-13 21:18 UTC,N/A,false,N/A,
Azure Machine Learning Development: Part 1,"Machine learning as a concept has been around for over 60 years, but as artificial intelligence becomes more and more popular, there’s increased opportunity in the field of artificial intelligence and its subgroups, machine learning and deep learning. And with the explosion of cloud computing, it’s only natural to study machine learning with cloud technologies like Azure. In this introductory course to her Azure machine learning series, Zarina Meeran starts you off with the basics of AI, and covers how ML and DL subgroups fit into the picture. She then dives into the various machine learning problems and the machine learning algorithms used to solve these problems. Zarina also covers the machine learning lifecycle to get the end-to-end picture, as well as the tools offered from Azure. Finally, she goes through the architecture of MLOps within the cloud as this is currently adopted.",Course,2024-09-30 02:14 UTC,N/A,false,N/A,
"Complete Guide to Java Design Patterns: Creational, Behavioral, and Structural","<p>In this course, developer Bethan Palmer guides you through using creative, behavioral, and structural design patterns in Java. Find out how design patterns help you write cleaner, more elegant code, and explore a wide range of patterns with real world examples. Practice and reinforce what you learn with hands-on challenges in each chapter.</p>

<p>The best way to learn a language is to use it in practice. That’s why this course is integrated with GitHub Codespaces, an instant cloud developer environment that offers all the functionality of your favorite IDE without the need for any local machine setup. With GitHub Codespaces, you can get hands-on practice from any machine, at any time—all while using a tool that you’ll likely encounter in the workplace. Check out the “Using GitHub Codespaces with this course” video to learn how to get started.</p>",Course,2024-11-20 13:41 UTC,N/A,false,N/A,
Practice Exam 4 for AWS Certified Developer - Associate (DVA-C02),"<p>This practice exam is intended to help you prepare for the <b>AWS Certified Developer - Associate (DVA-C02)</b>certification exam. After you launch the practice exam, there are three practice modes available; timed, untimed, or custom. Each mode allows unlimited attempts, explanations for correct and incorrect answers, and detailed exam results. The number and types of questions on the practice exam and the duration of the timed practice exam is intended to be representative of the certification exam.</p>

<p><b>Want more practice?</b> Additional practice exams for this certification are available and each has a unique question set for continued preparation.</p>

<ul>
<li><a href=""https://www.linkedin.com/learning/practice-exam-1-for-aws-certified-developer-associate-dva-c02"" target=""_blank""><i>Practice Exam 1 for AWS Certified Developer - Associate (DVA-C02)</i></a></li>
<li><a href=""https://www.linkedin.com/learning/practice-exam-2-for-aws-certified-developer-associate-dva-c02"" target=""_blank""><i>Practice Exam 2 for AWS Certified Developer - Associate (DVA-C02)</i></a></li>
<li><a href=""https://www.linkedin.com/learning/practice-exam-3-for-aws-certified-developer-associate-dva-c02"" target=""_blank""><i>Practice Exam 3 for AWS Certified Developer - Associate (DVA-C02)</i></a></li>
</ul>

<p><b>About the certification</b>: To learn more about this certification, visit <b><a href=""https://www.aws.amazon.com/certification/certified-developer-associate/"">AWS Certified Developer - Associate (DVA-C02)</a></b>.</p>

<p><i>The practice exam questions provided are representative of the certification exam, but not the actual questions you will see on the certification exam. Practice exams are for self-assessment. Passing this practice exam does not guarantee that you will pass the actual certification exam.</i></p>",Course,2024-11-07 13:58 UTC,N/A,false,N/A,
Blender 2.91 Essential Training,"Blender is a powerful open-source solution for 2D and 3D modeling, animation, compositing, and post-production. In this course, get a thorough overview of the feature set in Blender 2.91 and beyond, as well as practical production techniques that combine know-how with a healthy dose of how-to. Instructor David Andrade dives into specific techniques, such as scene layout and modeling, sculpting, texturing and shading, 2D and 3D animation, character rigging, dynamic simulations, rendering, and game engine exporting. Plus, get performance-boosting tricks to get Blender to render your creations even faster. Each lesson helps you gain the control and skill you need to create professional artwork for multiple platforms: games, movies, and animation.",Course,2023-04-22 04:16 UTC,N/A,false,N/A,
Symmetric Cryptography Essential Training,"If you work with computers, you use cryptography. Symmetric cryptography is a common method that uses the same key for encryption and decryption of data. Faster and less resource-intensive than asymmetric cryptography, symmetric cryptography is important for all IT professionals to understand. This course delivers a practical overview of the technology, emphasizing high-level concepts that affect how our data is stored and transmitted. Jeremy Hansen explains the difference between single key (symmetric) and multiple key (asymmetric) algorithms, and shows how symmetric encryption affects underlying binary data. Learn about the basic ciphers used in symmetric cryptography, including substitution, permutation, and transposition, and influential symmetric-key algorithms like the Advanced Encryption Standard and its predecessor, the Data Encryption Standard. Review modern block cipher modes like cipher block chaining (CBC), cipher feedback (CFB), and counter (CTR), which can help secure large amounts of data.",Course,2024-10-28 12:25 UTC,N/A,false,N/A,
SQL Server Machine Learning Services: Python,"Learn how to analyze SQL Server data with Python. Database expert Adam Wilbert shows how to use a powerful combination of tools, including high-performance Python libraries and the Machine Learning Services add-on, directly inside SQL Server to streamline analysis. Adam shows how to use Python scripts to perform statistical analysis, generate graphics such as scatterplots and bar charts, and process tabular data. He also explains how to turn a Python script into a stored procedure and set up standalone ML services to execute scripts without impacting SQL Server performance.",Course,2023-02-11 10:18 UTC,N/A,false,N/A,
AI Fundamentals for Data Professionals,"If you currently work as a data professional or are looking to land a role in the field, you need to build a foundational understanding of AI concepts, techniques, and tools in order to truly leverage AI and ML effectively. Join instructor Sadie St. Lawrence to learn how to optimize data-driven decision-making processes within your organization by developing in-demand AI and ML skills. Get equipped with essential knowledge for data professionals to stay relevant and competitive in this ever-evolving field, as AI continues to transform the way we work with and understand the value of data. Explore popular tools such as PyTorch, scikit-learn, Keras, XGBoost, and Hugging Face as well as core concepts in data and feature engineering, machine learning, AI ethics, and more.",Course,2024-09-05 20:13 UTC,N/A,false,N/A,
Nano Tips for Understanding AI's Impact to Business with Marco Andre,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, Marco Andre offers tips on understanding the impact of artificial intelligence in business, and how leaders can  become more productive and creative at work by thinking about AI first.",Course,2025-01-21 00:52 UTC,N/A,false,N/A,
Web Scraping with Python,"Instructor Ryan Mitchell teaches the practice of web scraping using the Python programming language. Ryan helps you understand how a human browsing the web is different from a web scraper. She introduces the Chrome developer tools and how to use them to examine network calls. Ryan shows you how to install Scrapy with pip and how to write some ""Hello, World"" code to scrape a simple web page. She covers how to use the Scrapy LinkExtractor to find internal links on a web page, then demonstrates how to configure Scrapy and the ItemPipeline to write data to various file formats. Ryan walks you through best practices for organizing your projects, writing reusable parsers, and future-proofing your spiders. She explains how APIs work and how they can be used to retrieve data directly. Ryan explores headers and cookies, then goes into browser automation and how to integrate Selenium with Scrapy. In conclusion, she offers ideas to continue your studies in computer science and think creatively about automation.",Course,2021-02-25 12:34 UTC,N/A,false,N/A,
Learning Azure IoT Edge,"Expertise in IoT edge is an increasingly in-demand skill. In this course, Zarina Meeran explains edge computing—what it is, its history, its characteristics, and its benefits and drawbacks— and then illustrates how IoT edge can be used in the cloud and Azure specifically. Zarina runs through the concepts and the components, then shows you how to implement solutions either online or offline within Azure. If you’re interested in building your own Azure IoT Edge solutions to reap benefits like lowering bandwidth, latency, and cost, as well as flexibility when utilizing resources required on demand, join Zarina in this course.",Course,2025-01-13 21:48 UTC,N/A,false,N/A,
End-to-End Real-World Data Engineering Project with Databricks,"This comprehensive course offers a practical, hands-on approach to building a modern data pipeline using Databricks. Join instructor Deepak Goyal as he guides you through a real-world data engineering project that transforms a data lake into an efficient, analytics-ready solution using the Databricks ecosystem. Learn how an end-to-end project works in Databricks, how to implement the three-layer medallion architecture—bronze, silver, and gold—and how to use Spark SQL in a real-world data project. Ideal for professional data engineers as well as data analysts, this course can help you take your technical skills to the next level and put you in a more in-demand position to land the data role of your dreams.",Course,2025-01-10 21:11 UTC,N/A,false,N/A,
